,WorkerId,WorkTimeInSeconds,Input.pdf_url,Input.Category,Answer.question
42,A1GGOZPHYU0OC0,64,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask for specific content to be extracted from the document.,Find all school names mentioned in this document.
43,A1NF6PELRKACS9,882,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask for a rewrite of some text in the document.,List only the school names in Raibag mentioned in the document.
44,A1GGOZPHYU0OC0,262,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question that can’t be answered with just the document.,Are there urinals in the boys toilet at Shegunashi?
45,A1MJVTR0PCKBWW,78,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question that needs multiple parts of the document to answer.,Does the school at school code 2930100380 have drinking water?
46,A1NF6PELRKACS9,1263,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask about the type of the document.,Is this document a statistics article?
47,A1GGOZPHYU0OC0,336,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--350292806.pdf,Ask a question that is not answerable with the document.,Is the drinking water at Shivnur school filtered?
48,A1GGOZPHYU0OC0,123,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question about a figure in the document.,What does Figure A in the left column of page 4 show?
49,AE861G0AY5RGT,843,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question about the document.,How many different species of Yersinia are there in existence?
50,A2SWQM5X54P1O5,689,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question about a table in the document.,Please convert the bar graph table on page 8 to a line graph.
51,A1GGOZPHYU0OC0,310,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question about the structure of the document.,What is the main takeaway from the discussion section on page 5?
52,A1GGOZPHYU0OC0,265,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask for a summary of parts of the document or the full document.,Can you summarize like a university professor what the graphs on page 3 mean?
53,AORHXBTOCXFUK,285,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask for a summary of parts of the document or the full document.,Ultrastructural and Biochemical Analyses of the Bacterium–Erythrocyte Interaction?
54,A2SWQM5X54P1O5,762,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask for specific content to be extracted from the document.,Compile all pictures and graphs found in this document.
55,A1GGOZPHYU0OC0,276,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this in the style of Shakespeare: ""In this study we show that Y. enterocolitica, like S. typhimurium and S. flexneri, assembles many needle-like surface structures during protein secretion."""
56,A1MJVTR0PCKBWW,52,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question that can’t be answered with just the document.,"For hydrophobicity assays, needles preparations were overlaid with how much n-hexadecane?"
57,A1GGOZPHYU0OC0,675,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question that needs multiple parts of the document to answer.,What figures are used to support the abstract?
58,A1GGOZPHYU0OC0,265,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask about the type of the document.,Is this document a news story?
59,A1MJVTR0PCKBWW,68,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--26390575.pdf,Ask a question that is not answerable with the document.,HeLa cells were grown at what temperature when assays were performed?
60,A1GGOZPHYU0OC0,85,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question about a figure in the document.,N/A - no figure numbers
61,A1NF6PELRKACS9,991,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question about the document.,What addresses are mentioned in the document?
62,AORHXBTOCXFUK,243,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question about the document.,Got a Safety Question?
63,A1GGOZPHYU0OC0,340,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question about a table in the document.,N/A - no tables
64,A1NF6PELRKACS9,1106,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question about the structure of the document.,"In a concise paragraph, what is the summary of how to keep cool this summer mentioned in the 2nd page of the document?"
65,AE861G0AY5RGT,664,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask for a summary of parts of the document or the full document.,I would like a shorter summary of all of the points provided in how to keep cool in the summer.
66,AE861G0AY5RGT,469,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask for specific content to be extracted from the document.,"What should be used, and what is the process for cleaning the coils on air conditioner units?"
67,A1NF6PELRKACS9,675,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask for a rewrite of some text in the document.,"Rewrite this in less than 50 words: ""Following is a list of the illnesses associated with Heat Stress, and their symptoms: Heat Stroke – Symptoms include hot, dry skin (no sweating), hallucinations, chills, headache, high body temperature, confusion, dizziness, or slurred speech. Heat Stroke is a life threatening condition. Heat Exhaustion – Symptoms include heavy sweating, weakness or fatigue, dizziness, confusion, nausea, clammy, moist skin, pale or flushed complexion, muscle cramps, slightly elevated body temperature, or fast and shallow breathing. Heat Syncope (fainting episode) – Symptoms are light-headiness, dizziness, and/or fainting. """
68,A1GGOZPHYU0OC0,241,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question that can’t be answered with just the document.,What else does NASA do to prevent heat stress?
69,A1MJVTR0PCKBWW,34,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question that needs multiple parts of the document to answer.,What type of heat stress can cause heavy sweating?
70,A38DC3BG1ZCVZ2,339,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask about the type of the document.,Can this document be categorized under health?
71,A1NF6PELRKACS9,1066,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--28888944.pdf,Ask a question that is not answerable with the document.,What can you do to increase the temperature of your body?
72,A1GGOZPHYU0OC0,157,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--286776933.pdf,Ask a question about a figure in the document.,N/A - no numbered figures
73,A1GGOZPHYU0OC0,348,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--286776933.pdf,Ask a question about the document.,Did the Indus Valley civilization exist in 3 B.C.E.?
74,A1NF6PELRKACS9,1025,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--286776933.pdf,Ask a question about a table in the document.,What is the main takeaway of the points mentioned in the Instructional Sequence/Procedure (Req.) section of the document?
75,AORHXBTOCXFUK,371,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--286776933.pdf,Ask a question about a table in the document.,Common Core Curriculum Standards Used ?
76,AE861G0AY5RGT,1257,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--286776933.pdf,Ask a question about the structure of the document.,What is the purpose of providing the section titled India facts?
77,AURYD2FH3FUOQ,2245,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf,Ask a question that needs multiple parts of the document to answer.,"When making Broccoli Raab with Caramelized Onion, when is the garlic added?"
78,A2WQT33K6LD9Z5,2883,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf,Ask about the type of the document.,Does this document fall under the category of science as well as basic gardening/farming or is it just a farming/gerdening article?
79,AURYD2FH3FUOQ,2616,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--269967308.pdf,Ask a question that is not answerable with the document.,How much rain was received just over a week ago?
80,A38DC3BG1ZCVZ2,22,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask for a summary of parts of the document or the full document.,Summarize the document in ten sentences or less.
81,A3UUH3632AI3ZX,82,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question about a figure in the document.,Is the current balance of the financial report easily distinguishable?
82,A34QZDSTKZ3JO9,62,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this in an easier to understand language:  From the MATLAB Command Window, execute the MATLAB statements in Figure 1 paying attention to the variables and their values in the MATLAB Workspace window."
83,A34QZDSTKZ3JO9,42,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about a figure in the document.,What are the buttons show on the bottom of page 2 used for?
84,A320QA9HJFUOZO,2251,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask for specific content to be extracted from the document.,Which specific bible verses are cited in the document?
85,A1MJVTR0PCKBWW,71,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question about the document.,How many basement posts have been replaced according to deNeui?
86,A2TBXASXZIRNNW,252,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf,Ask a question that can’t be answered with just the document.,Who was the founder of Armstrong State University?
87,A2J237J8KM3OCS,111,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask for a rewrite of some text in the document.,Why Hope is a fundamental component of the life of the righteous?
88,A32CMQGGTSUK6Z,961,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about the document.,How many file format options are there to use?
89,A33EE91AZUG1LW,1286,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question about a table in the document.,What percentage of expenses was the Alpine Communications expense?
90,A2TBXASXZIRNNW,663,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf,Ask a question that needs multiple parts of the document to answer.,What is the main difference between pages 2 and 3?
91,A2TBXASXZIRNNW,802,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about a table in the document.,N/A Table reasoning if the document contains no tables.
92,A1NF6PELRKACS9,2990,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question about the structure of the document.,What is the main takeaway from the financial report mentioned in the document?
93,A2WQT33K6LD9Z5,2100,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf,Ask about the type of the document.,Is this document more programming or mathematics oriented?
94,A320QA9HJFUOZO,2698,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question about the structure of the document.,"Which file formats are listed under the ""Create Using This Format"" section?"
95,AETIZKQNUSBLB,2158,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask for a summary of parts of the document or the full document.,Give me a brief summary of the information related to the interns.
96,A320QA9HJFUOZO,3132,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask a question that can’t be answered with just the document.,How long has Rev. Elizabeth D. McLean been leading the Prince of Peace Presbyterian Church?
97,A2TBXASXZIRNNW,414,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask a question about a table in the document.,N/A Table reasoning
98,A2TBXASXZIRNNW,439,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--191156062.pdf,Ask a question that is not answerable with the document.,When was Armstrong State University founded?
99,A1GGOZPHYU0OC0,215,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for a summary of parts of the document or the full document.,For what purpose does the File Path and Name On Server field serve?
100,A2WQT33K6LD9Z5,3458,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask for specific content to be extracted from the document.,List all of the dates mentioned in the article along with any details associated with each date mentioned in the article.
101,A2TBXASXZIRNNW,367,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask a question that needs multiple parts of the document to answer.,What is the main difference between pages 1 and 3?
102,A38DC3BG1ZCVZ2,1513,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask a question about a figure in the document.,"For Figure 1A in Open Access, where is the footfidget placed?"
103,A2TBXASXZIRNNW,351,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask about the type of the document.,Is this document about Catholicism?
104,A2WQT33K6LD9Z5,2961,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask for a rewrite of some text in the document.,"Can you rewrite this so that it seems like someone is speaking to me directly: ""The regular meeting of the Motor Mill Foundation of Clayton County was held Tuesday, March 20, 2018, at Osborne Conservation Center. Chairman John Nikolai called the meeting to order at 7:06 p.m""."
105,A1NF6PELRKACS9,2640,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask a question about the structure of the document.,What is the main takeaway of the paragraphs mentioned in page 2 of the document?
106,A3UUH3632AI3ZX,84,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for specific content to be extracted from the document.,What is the definition of Output File Path?
107,A320QA9HJFUOZO,1159,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask a question about the document.,Which activity represents the lowest energy expenditure per hour in Figure 2?
108,A2R2YZTSME1K3F,421,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--228740874.pdf,Ask a question that is not answerable with the document.,What is Jeremy's prophecy?
109,A3UUH3632AI3ZX,1548,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask for a summary of parts of the document or the full document.,Can you give me a quick summary of the the first half of the document?
110,A32CMQGGTSUK6Z,414,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question that can’t be answered with just the document.,How much has the Silos internship been reduced by potentially this year?
111,A2R2YZTSME1K3F,996,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask for a rewrite of some text in the document.,"Could you rewrite this in language a 5th grader would understand?: ""Starting date for the range of records you want to include For example, for the Audit Task Log, this is the Audit Starting Date parameter. An entry in this field for the report sets the system to include audit records created on or after this date. Descriptive = This option lets you select a description of the starting date. For example, to use January 1st of the current year as the starting date, you would select Beginning of This Year. Offset = This option lets you enter a specific number of days, weeks, or months back to use as the starting date. For example, to use a starting date of 10 days ago, you would enter 10 in the first field and set the Ago option to Days. Exact = This option lets you enter a specific date and time to use as the starting date."""
112,A320QA9HJFUOZO,1883,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask a question about a figure in the document.,What is the main point of the Bomb Threats section on Page 2?
113,AURYD2FH3FUOQ,2416,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask a question about a table in the document.,What is a type of dynamic sitting given in the discussion on page 3?
114,A34QZDSTKZ3JO9,46,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that can’t be answered with just the document.,What kind of computer should you be following these instructions with?
115,A38DC3BG1ZCVZ2,51,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask for specific content to be extracted from the document.,What is a way that manufacturers have gone around state and federal gun laws?
116,A2R2YZTSME1K3F,439,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask a question about the structure of the document.,Could you explain the gist of the Protocol section?
117,A34QZDSTKZ3JO9,66,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask a question about the document.,How do you get out if you are on the second floor?
118,A33EE91AZUG1LW,255,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question that needs multiple parts of the document to answer.,What percentage of current balance is being asked in Old Balance money request?
119,A38DC3BG1ZCVZ2,22,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask for a rewrite of some text in the document.,Summarize the second paragraph in one long sentence.
120,A2TBXASXZIRNNW,743,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that needs multiple parts of the document to answer.,What is the main difference between page 1 and page 2?
121,A2R2YZTSME1K3F,546,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask a question about a table in the document.,N/A There are no tables in this document.
122,A33EE91AZUG1LW,130,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask for a summary of parts of the document or the full document.,What is a complete summary of the new findings in Chair-based fidgeting and energy expenditure.
123,A2TBXASXZIRNNW,260,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask about the type of the document.,Is this a document about a county meeting?
124,AURYD2FH3FUOQ,2405,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask about the type of the document.,Is this document specific only for a certain company?
125,A2TBXASXZIRNNW,399,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask a question about the structure of the document.,What is the main idea of page 3?
126,A34QZDSTKZ3JO9,57,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask for specific content to be extracted from the document.,Can you list the names of the people that contributed to the article?
127,A34QZDSTKZ3JO9,51,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask a question that can’t be answered with just the document.,Can you tell me why this letter was written?
128,A2WQT33K6LD9Z5,2395,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--206938595.pdf,Ask a question that is not answerable with the document.,"What is a good software to use to create the reports in the given formats listed under the, ""Create using this Format"", header?"
129,A2TBXASXZIRNNW,211,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--368918284.pdf,Ask a question that is not answerable with the document.,Where was Motor Mill Foundation founded?
130,A38DC3BG1ZCVZ2,73,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask for a rewrite of some text in the document.,"On the first page under ""How might it impact on clinical practice in the near future"" rewrite this in paragraph form."
131,A38DC3BG1ZCVZ2,94,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask for a summary of parts of the document or the full document.,What should you do in the case of a fire if it is unknown if it can be controlled? Tell me in two sentences or less.
132,A1NF6PELRKACS9,765,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--236636489.pdf,Ask a question that needs multiple parts of the document to answer.,What are the negative aspects of ghost guns according to the document?
133,A38DC3BG1ZCVZ2,74,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about a figure in the document.,What is the bus stop name for Bus ID 91099?
134,A38DC3BG1ZCVZ2,54,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--1058108.pdf,Ask a question that can’t be answered with just the document.,Where can you purchase a core chair?
135,A2R2YZTSME1K3F,1444,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--42920652.pdf,Ask a question about a figure in the document.,N/A There are no figures in this document.
136,A2R2YZTSME1K3F,497,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--160789287.pdf,Ask for specific content to be extracted from the document.,What are the possible emergencies and disasters discussed in the document?
137,A38DC3BG1ZCVZ2,54,https://docinstructpdfs.s3.amazonaws.com/valid_pdfs/DR--168853401.pdf,Ask a question about the document.,What if a student wants to alight 20 feet away from stop 66389?
